ID,x,y,z,wire_direction_x,wire_direction_y,wire_direction_z,halflength,type,sector,layer,layer_lim,sector_lim,num_neighbors
179,4.05088,-25.1962,-21.4618,-0.0438148,-0.0252965,0.998719,9.05,2,18446744073709551615,18446744073709551615,0,0,0
180,22.4296,-14.5853,100.062,-0.0438148,-0.0252965,0.998719,9.05,2,18446744073709551615,18446744073709551615,0,0,0
181,12.8011,-21.1581,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
182,13.6792,-20.6511,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
183,14.5574,-20.1441,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
184,15.4355,-19.6371,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
185,16.3137,-19.1301,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
186,17.1918,-18.6231,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
187,18.07,-18.1161,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
188,18.9481,-17.6091,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
189,19.8263,-17.1021,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
190,20.7044,-16.5951,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
191,11.9229,-21.6651,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
192,11.0448,-22.1721,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
193,10.1666,-22.6791,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
194,9.28848,-23.1861,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
195,8.41033,-23.6931,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
196,7.53218,-24.2001,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
197,6.65403,-24.7071,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
198,6.25082,-24.9399,28.4741,-0.0438148,-0.0252965,0.998719,59.05,2,18446744073709551615,18446744073709551615,0,0,0
199,21.1076,-16.3623,50.1259,-0.0438148,-0.0252965,0.998719,59.05,2,18446744073709551615,18446744073709551615,0,0,0
200,5.81082,-25.1939,18.4869,-0.0438148,-0.0252965,0.998719,49.05,2,18446744073709551615,18446744073709551615,0,0,0
201,21.5476,-16.1083,60.1131,-0.0438148,-0.0252965,0.998719,49.05,2,18446744073709551615,18446744073709551615,0,0,0
202,5.37081,-25.448,8.49973,-0.0438148,-0.0252965,0.998719,39.05,2,18446744073709551615,18446744073709551615,0,0,0
203,21.9876,-15.8542,70.1003,-0.0438148,-0.0252965,0.998719,39.05,2,18446744073709551615,18446744073709551615,0,0,0
204,4.93081,-25.702,-1.48746,-0.0438148,-0.0252965,0.998719,29.05,2,18446744073709551615,18446744073709551615,0,0,0
205,22.4276,-15.6002,80.0875,-0.0438148,-0.0252965,0.998719,29.05,2,18446744073709551615,18446744073709551615,0,0,0
206,4.49081,-25.956,-11.4747,-0.0438148,-0.0252965,0.998719,19.05,2,18446744073709551615,18446744073709551615,0,0,0
207,22.8676,-15.3462,90.0747,-0.0438148,-0.0252965,0.998719,19.05,2,18446744073709551615,18446744073709551615,0,0,0
208,4.05081,-26.2101,-21.4618,-0.0438148,-0.0252965,0.998719,9.05,2,18446744073709551615,18446744073709551615,0,0,0
209,23.3076,-15.0921,100.062,-0.0438148,-0.0252965,0.998719,9.05,2,18446744073709551615,18446744073709551615,0,0,0
210,12.869,-22.2898,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
211,13.7471,-21.7828,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
212,14.6253,-21.2758,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
213,15.5034,-20.7688,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
214,16.3816,-20.2618,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
215,17.2597,-19.7548,39.3,0.0438148,0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
